,ngay,thaydoi,solenhmua,khoiluongdatmua,KLTB1lenhmua,solenhdatban,khoiluongdatban,KLTB1lenhban,chenhlechlenhmuavaban,symbol
16,31/03/2022,6.2 (0.00 %)   ,3 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
17,30/03/2022,6.2 (0.00 %)   ,3 ,"2,000 ",667  ,1 ,"1,000 ","1,000  ","1,000",HLR
18,29/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
19,28/03/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
0,25/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
1,24/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
2,23/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
3,22/03/2022,6.2 (0.00 %)   ,1 ,200 ,200  ,0 ,0 ,NaN  ,200,HLR
4,21/03/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
5,18/03/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
6,17/03/2022,6.2 (0.00 %)   ,2 ,"1,000 ",500  ,0 ,0 ,NaN  ,"1,000",HLR
7,16/03/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
8,15/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
9,14/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
10,11/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
11,10/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
12,09/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
13,08/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
14,07/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
15,04/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
16,03/03/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
17,02/03/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
18,01/03/2022,6.2 (0.00 %)   ,1 ,100 ,100  ,0 ,0 ,NaN  ,100,HLR
19,28/02/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
0,25/02/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
1,24/02/2022,6.2 (0.00 %)   ,2 ,"4,600 ","2,300  ",0 ,0 ,NaN  ,"4,600",HLR
2,23/02/2022,6.2 (0.00 %)   ,4 ,"34,000 ","8,500  ",0 ,0 ,NaN  ,"34,000",HLR
3,22/02/2022,6.2 (0.00 %)   ,2 ,"4,600 ","2,300  ",0 ,0 ,NaN  ,"4,600",HLR
4,21/02/2022,6.2 (0.00 %)   ,2 ,"4,600 ","2,300  ",0 ,0 ,NaN  ,"4,600",HLR
5,18/02/2022,6.2 (0.00 %)   ,2 ,"4,600 ","2,300  ",0 ,0 ,NaN  ,"4,600",HLR
6,17/02/2022,6.2 (0.00 %)   ,2 ,"4,000 ","2,000  ",0 ,0 ,NaN  ,"4,000",HLR
7,16/02/2022,6.2 (0.00 %)   ,6 ,"5,200 ",867  ,0 ,0 ,NaN  ,"5,200",HLR
8,15/02/2022,6.2 (0.00 %)   ,3 ,"4,200 ","1,400  ",0 ,0 ,NaN  ,"4,200",HLR
9,14/02/2022,6.2 (0.00 %)   ,3 ,"4,000 ","1,333  ",0 ,0 ,NaN  ,"4,000",HLR
10,11/02/2022,6.2 (0.00 %)   ,3 ,"4,000 ","1,333  ",0 ,0 ,NaN  ,"4,000",HLR
11,10/02/2022,6.2 (3.33 %)   ,6 ,"1,400 ",233  ,1 ,"1,200 ","1,200  ",200,HLR
12,09/02/2022,6 (0.00 %)   ,4 ,"6,000 ","1,500  ",0 ,0 ,NaN  ,"6,000",HLR
13,08/02/2022,6 (-10.45 %)   ,8 ,"1,900 ",238  ,2 ,100 ,50  ,"1,800",HLR
14,07/02/2022,6.7 (0.00 %)   ,1 ,100 ,100  ,0 ,0 ,NaN  ,100,HLR
15,28/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
16,27/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
17,26/01/2022,6.7 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
18,25/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
19,24/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
0,21/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
1,20/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
2,19/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
3,18/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
4,17/01/2022,6.7 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
5,14/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
6,13/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
7,12/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
8,11/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
9,10/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
10,07/01/2022,6.7 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
11,06/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
12,05/01/2022,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
13,04/01/2022,6.7 (0.00 %)   ,1 ,"2,000 ","2,000  ",0 ,0 ,NaN  ,"2,000",HLR
14,31/12/2021,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
15,30/12/2021,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
16,28/12/2021,6.7 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
17,27/12/2021,6.7 (0.00 %)   ,1 ,100 ,100  ,0 ,0 ,NaN  ,100,HLR
18,24/12/2021,6.7 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
19,23/12/2021,0 (0.00 %)   ,2 ,"3,100 ","1,550  ",0 ,0 ,NaN  ,"3,100",HLR
0,22/12/2021,6.7 (0.00 %)   ,4 ,"4,300 ","1,075  ",0 ,0 ,NaN  ,"4,300",HLR
1,21/12/2021,6.7 (-14.10 %)   ,1 ,100 ,100  ,1 ,100 ,100  ,0,HLR
2,20/12/2021,7.8 (0.00 %)   ,1 ,800 ,800  ,3 ,800 ,267  ,0,HLR
3,17/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
4,16/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
5,15/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
6,14/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
7,13/12/2021,7.8 (0.00 %)   ,1 ,100 ,100  ,1 ,100 ,100  ,0,HLR
8,10/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
9,09/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
10,08/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
11,07/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
12,06/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
13,03/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
14,02/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
15,01/12/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
16,30/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
17,29/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
18,26/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
19,25/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
0,24/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
1,23/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
2,22/11/2021,7.8 (0.00 %)   ,1 ,100 ,100  ,0 ,0 ,NaN  ,100,HLR
3,19/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
4,18/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
5,17/11/2021,7.8 (0.00 %)   ,1 ,"1,000 ","1,000  ",0 ,0 ,NaN  ,"1,000",HLR
6,16/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
7,15/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
8,12/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
9,11/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
10,10/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
11,09/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
12,08/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
13,05/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
14,04/11/2021,7.8 (0.00 %)   ,1 ,"10,000 ","10,000  ",0 ,0 ,NaN  ,"10,000",HLR
15,03/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
16,02/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
17,01/11/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
18,29/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
19,28/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
0,27/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
1,26/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
2,25/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
3,22/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
4,21/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
5,20/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
6,19/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
7,18/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
8,15/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
9,14/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
10,13/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
11,12/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
12,11/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
13,08/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
14,07/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
15,06/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
16,05/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
17,04/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
18,01/10/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
19,30/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
0,29/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
1,28/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
2,27/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
3,24/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
4,23/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
5,22/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
6,21/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
7,20/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
8,17/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
9,16/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
10,15/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
11,14/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
12,13/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
13,10/09/2021,7.8 (0.00 %)   ,1 ,"1,000 ","1,000  ",0 ,0 ,NaN  ,"1,000",HLR
14,09/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
15,08/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
16,07/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
17,06/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
18,01/09/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
19,31/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
0,30/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
1,27/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
2,26/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
3,25/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
4,24/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
5,23/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
6,20/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
7,19/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
8,18/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
9,17/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
10,16/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
11,13/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
12,12/08/2021,7.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
13,11/08/2021,7.8 (14.71 %)   ,2 ,"1,100 ",550  ,1 ,100 ,100  ,"1,000",HLR
14,10/08/2021,6.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
15,09/08/2021,6.8 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
16,06/08/2021,6.8 (0.00 %)   ,1 ,100 ,100  ,1 ,100 ,100  ,0,HLR
17,05/08/2021,6.8 (38.78 %)   ,2 ,200 ,100  ,1 ,100 ,100  ,100,HLR
18,04/08/2021,4.9 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
19,03/08/2021,4.9 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
0,02/08/2021,4.9 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
1,30/07/2021,4.9 (0.00 %)   ,1 ,100 ,100  ,0 ,0 ,NaN  ,100,HLR
2,29/07/2021,4.9 (0.00 %)   ,1 ,100 ,100  ,0 ,0 ,NaN  ,100,HLR
3,28/07/2021,4.9 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
4,27/07/2021,4.9 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
5,26/07/2021,6 (0.00 %)   ,5 ,"1,500 ",300  ,0 ,0 ,NaN  ,"1,500",HLR
6,23/07/2021,6 (0.00 %)   ,1 ,"1,000 ","1,000  ",0 ,0 ,NaN  ,"1,000",HLR
7,22/07/2021,6 (0.00 %)   ,1 ,"1,000 ","1,000  ",0 ,0 ,NaN  ,"1,000",HLR
8,21/07/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
9,20/07/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
10,19/07/2021,6 (0.00 %)   ,1 ,100 ,100  ,0 ,0 ,NaN  ,100,HLR
11,16/07/2021,6 (0.00 %)   ,1 ,"1,000 ","1,000  ",0 ,0 ,NaN  ,"1,000",HLR
12,15/07/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
13,14/07/2021,6 (0.00 %)   ,1 ,"1,000 ","1,000  ",0 ,0 ,NaN  ,"1,000",HLR
14,13/07/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
15,12/07/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
16,09/07/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
17,08/07/2021,6 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
18,07/07/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
19,06/07/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
0,05/07/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
1,02/07/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
2,01/07/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
3,30/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
4,29/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
5,28/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
6,25/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
7,24/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
8,23/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
9,22/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
10,21/06/2021,6 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
11,18/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
12,17/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
13,16/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
14,15/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
15,14/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
16,11/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
17,10/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
18,09/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
19,08/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
0,07/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
1,04/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
2,03/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
3,02/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
4,01/06/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
5,31/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
6,28/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
7,27/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
8,26/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
9,25/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
10,24/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
11,21/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
12,20/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
13,19/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
14,18/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
15,17/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
16,14/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
17,13/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
18,12/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
19,11/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
0,10/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
1,07/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
2,06/05/2021,6 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
